symbol,summary,risk_level,reason,action_note,gpt_score,analyzed_at
RXO,Rule-based fallback analysis. GPT API was not used.,low,"Score 100, smart-money 70, RSI 59.9, volume 2.31x.","Use only as a review aid. Re-check regular-session price, volume, spread, and news before any order.",84,2026-06-01 17:34:44
IMNM,Rule-based fallback analysis. GPT API was not used.,medium,"Score 100, smart-money 70, RSI 41.5, volume 2.06x.","Use only as a review aid. Re-check regular-session price, volume, spread, and news before any order.",83,2026-06-01 17:34:44
LPG,Rule-based fallback analysis. GPT API was not used.,high,"Score 70, smart-money 70, RSI 90.6, volume 3.17x.","Use only as a review aid. Re-check regular-session price, volume, spread, and news before any order.",69,2026-06-01 17:34:44
HAS,Rule-based fallback analysis. GPT API was not used.,medium,"Score 70, smart-money 50, RSI 35.7, volume 2.88x.","Use only as a review aid. Re-check regular-session price, volume, spread, and news before any order.",61,2026-06-01 17:34:44
IWB,Rule-based fallback analysis. GPT API was not used.,medium,"Score 70, smart-money 50, RSI 66.4, volume 2.51x.","Use only as a review aid. Re-check regular-session price, volume, spread, and news before any order.",61,2026-06-01 17:34:44
ROG,Rule-based fallback analysis. GPT API was not used.,low,"Score 100, smart-money 40, RSI 46.1, volume 1.81x.","Use only as a review aid. Re-check regular-session price, volume, spread, and news before any order.",72,2026-06-01 17:34:44
LYV,Rule-based fallback analysis. GPT API was not used.,low,"Score 100, smart-money 40, RSI 60.1, volume 1.71x.","Use only as a review aid. Re-check regular-session price, volume, spread, and news before any order.",72,2026-06-01 17:34:44
PUK,Rule-based fallback analysis. GPT API was not used.,low,"Score 100, smart-money 40, RSI 55.6, volume 1.55x.","Use only as a review aid. Re-check regular-session price, volume, spread, and news before any order.",72,2026-06-01 17:34:44
NEOG,Rule-based fallback analysis. GPT API was not used.,medium,"Score 100, smart-money 40, RSI 41.1, volume 1.45x.","Use only as a review aid. Re-check regular-session price, volume, spread, and news before any order.",71,2026-06-01 17:34:44
JPLD,Rule-based fallback analysis. GPT API was not used.,medium,"Score 100, smart-money 40, RSI 41.6, volume 1.39x.","Use only as a review aid. Re-check regular-session price, volume, spread, and news before any order.",71,2026-06-01 17:34:44
